DyadID,ParticipantID,TrialNum,ROI,Coh_PRE,Coh_POST
3,2,15,FrontoParietal,0.311387,0.315382
3,2,16,Frontal,0.430333,0.410880
3,2,16,Central,0.300678,0.318076
3,2,16,Parietal,0.308783,0.245749
3,2,16,Left,0.438129,0.439093
3,2,16,Right,0.292766,0.256525
3,2,16,FrontoParietal,0.359855,0.298118
3,2,17,Frontal,0.406570,0.357987
3,2,17,Central,0.294272,0.229660
3,2,17,Parietal,0.270905,0.242856
3,2,17,Left,0.427936,0.357045
3,2,17,Right,0.251916,0.231993
3,2,17,FrontoParietal,0.315223,0.276892
3,2,18,Frontal,0.408987,0.402401
3,2,18,Central,0.310952,0.342303
3,2,18,Parietal,0.253350,0.290753
3,2,18,Left,0.415267,0.431957
3,2,18,Right,0.265183,0.294220
3,2,18,FrontoParietal,0.306089,0.335980
4,1,1,Frontal,0.203585,0.222115
4,1,1,Central,0.198822,0.259305
4,1,1,Parietal,0.191344,0.217295
4,1,1,Left,0.244835,0.263404
4,1,1,Right,0.199379,0.221494
4,1,1,FrontoParietal,0.194789,0.206775
4,1,2,Frontal,0.236510,0.226143
4,1,2,Central,0.251305,0.273676
4,1,2,Parietal,0.225786,0.227023
4,1,2,Left,0.270979,0.283053
4,1,2,Right,0.225731,0.236430
4,1,2,FrontoParietal,0.213642,0.223214
4,1,3,Frontal,0.231374,0.242430
4,1,3,Central,0.210162,0.283367
4,1,3,Parietal,0.213510,0.226271
4,1,3,Left,0.279149,0.291371
4,1,3,Right,0.209220,0.227622
4,1,3,FrontoParietal,0.208377,0.219931
4,1,4,Frontal,0.219536,0.224745
4,1,4,Central,0.263913,0.242543
4,1,4,Parietal,0.192691,0.209020
4,1,4,Left,0.260019,0.259332
